Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Avrainvillamide Analog 5,LINCSCP_28484,HT29,10uM,24h,NA,NA,NA,NA,-0.23415341
Maxacalcitol-D6,LINCSCP_125171,HT29,3.33uM,24h,NA,NA,NA,NA,-0.23402209
Betaescin,LINCSCP_47607,PC3,10uM,24h,NA,NA,NA,NA,-0.23396875
Carfilzomib (PR-171),LINCSCP_169879,YAPC,3.33uM,24h,4,NA,NA,NA,-0.23387907
BRD-K70794677,LINCSCP_48818,PC3,10uM,24h,NA,NA,NA,NA,-0.23387066
AC1MSUFC,LINCSCP_44847,PC3,40uM,24h,NA,NA,NA,NA,-0.23373456
Rhodomyrtoxin B,LINCSCP_44758,PC3,10uM,6h,NA,NA,NA,NA,-0.2336205
R428,LINCSCP_137994,MCF7,10uM,24h,NA,NA,NA,NA,-0.23343338
CVF-SUMO-11,LINCSCP_27279,HT29,10uM,6h,NA,NA,NA,NA,-0.23329473
BRD-K78738487,LINCSCP_59920,VCAP,5uM,24h,NA,NA,NA,NA,-0.23319653
ETOPOSIDE,LINCSCP_138451,MCF7,3.33uM,24h,NA,NA,NA,NA,-0.23316981
BRD-K37612077,LINCSCP_63076,VCAP,5uM,24h,NA,NA,NA,NA,-0.2330501
MLS003128611,LINCSCP_57626,VCAP,10uM,6h,NA,NA,NA,NA,-0.23295955
ZSTK 474,LINCSCP_145910,MDAMB231,3.33uM,3h,NA,NA,NA,NA,-0.23286094
MLS002703112,LINCSCP_46013,PC3,10uM,6h,NA,NA,NA,NA,-0.23252023
BRD-K00256608,LINCSCP_43086,NPC,10uM,24h,NA,NA,NA,NA,-0.2323855
Diphenyleneiodonium,LINCSCP_33521,MCF7,10uM,6h,NA,NA,NA,NA,-0.23196789
Belinostat,LINCSCP_118541,HT29,1.11uM,24h,4,NA,NA,NA,-0.23186353
Regorafenib,LINCSCP_129319,HUVEC,1.11uM,24h,4,NA,NA,NA,-0.23179265
SMP2_000081,LINCSCP_925,A375,20uM,6h,NA,NA,NA,NA,-0.23168687
SU 11274,LINCSCP_2292,A375,10uM,6h,NA,NA,NA,NA,-0.23149779
CCG-214295,LINCSCP_7547,A549,10uM,24h,NA,NA,NA,NA,-0.23149194
BRD-K35188965,LINCSCP_62277,VCAP,5uM,24h,NA,NA,NA,NA,-0.2313626
PF750,LINCSCP_21765,HEPG2,80uM,6h,NA,NA,NA,NA,-0.23125828
BRD-K84528570,LINCSCP_3634,A375,10uM,24h,NA,NA,NA,NA,-0.23102406
Hypericin,LINCSCP_71283,A375,10uM,24h,NA,NA,NA,NA,-0.23101403
Tubastatin A,LINCSCP_49266,PC3,10uM,6h,NA,NA,NA,NA,-0.23083767
Phenolphthalein,LINCSCP_32882,MCF7,10uM,24h,4,NA,NA,NA,-0.23069418
Loperamide,LINCSCP_123277,HT29,10uM,24h,4,NA,NA,NA,-0.23021281
SPECTRUM_000403,LINCSCP_173065,YAPC,1.11uM,24h,NA,NA,NA,NA,-0.23016458
CHEMBL27449,LINCSCP_41175,NEU,10uM,24h,NA,NA,NA,NA,-0.23004153
Idelalisib,LINCSCP_147698,NPC.CAS9,0.04uM,24h,4,NA,NA,NA,-0.22999586
BRD-K28026280-001-01-7,LINCSCP_47783,PC3,10uM,24h,NA,NA,NA,NA,-0.22996835
LY2874455,LINCSCP_71574,A375,0.12uM,24h,NA,NA,NA,NA,-0.22996507
BRD-K66689236,LINCSCP_62468,VCAP,5uM,24h,NA,NA,NA,NA,-0.22995137
CHEMBL2359019,LINCSCP_50504,PHH,10uM,6h,NA,NA,NA,NA,-0.22989615
MLS003568130,LINCSCP_31136,MCF7,10uM,24h,NA,NA,NA,NA,-0.22984231
SB225002,LINCSCP_50631,PL21,10uM,6h,NA,NA,NA,NA,-0.22976144
Myricetin,LINCSCP_273651,PC3,10uM,6h,NA,NA,NA,NA,-0.22963772
Ciclopirox,LINCSCP_47615,PC3,10uM,24h,4,NA,NA,NA,-0.22948242
Troxipide,LINCSCP_178679,A375,10uM,6h,NA,NA,NA,NA,-0.22944262
AC1N6AX4,LINCSCP_55571,VCAP,10uM,24h,NA,NA,NA,NA,-0.22931128
"15-Benzyl-4-cyclopropylmethyl-10,17-dihydroxy-(1S,13R,15R,17S)-12-oxa-4-azapentacyclo[9.6.1.01,13.05,17.07,18]octadeca-7,9,11(18)-trien-14-one",LINCSCP_15113,HA1E,10uM,6h,NA,NA,NA,NA,-0.22924503
MLS000583951,LINCSCP_20058,HCC515,10uM,6h,NA,NA,NA,NA,-0.22917533
BRD-K65148580,LINCSCP_28274,HT29,10uM,24h,NA,NA,NA,NA,-0.22914404
EX-8678,LINCSCP_51850,SKBR3,10uM,24h,NA,NA,NA,NA,-0.22912153
BRD-K94241935,LINCSCP_62191,VCAP,5uM,24h,NA,NA,NA,NA,-0.22909705
MLS003429130,LINCSCP_177798,A375,10uM,24h,NA,NA,NA,NA,-0.22906624
ZM336372,LINCSCP_53604,SNGM,100uM,6h,NA,NA,NA,NA,-0.22887288
BRD-K96396151,LINCSCP_28318,HT29,10uM,24h,NA,NA,NA,NA,-0.22880377
AG 14361,LINCSCP_36072,MCF7,10uM,6h,NA,NA,NA,NA,-0.22859979
WZ-4-145,LINCSCP_58976,VCAP,10uM,24h,NA,NA,NA,NA,-0.22841604
Anisomycin,LINCSCP_18451,HCC515,10uM,6h,NA,NA,NA,NA,-0.22835988
BRD-K00150267,LINCSCP_62073,VCAP,5uM,6h,NA,NA,NA,NA,-0.22829892
AC1O8PYD,LINCSCP_26956,HT29,10uM,6h,NA,NA,NA,NA,-0.22824142
BRD-K63000292,LINCSCP_28374,HT29,10uM,24h,NA,NA,NA,NA,-0.22821242
I-BET151,LINCSCP_87078,CD34,1.11uM,24h,NA,NA,NA,NA,-0.22813214
(S)-Zearalenone,LINCSCP_17083,HA1E,20uM,24h,NA,NA,NA,NA,-0.22800565
BRD-K62320150,LINCSCP_62906,VCAP,5uM,24h,NA,NA,NA,NA,-0.22799679
"2,4-Dihydroxy-d-phenylalanine",LINCSCP_259539,NEU,10uM,24h,NA,NA,NA,NA,-0.22792089
Vidofludimus,LINCSCP_122914,HT29,10uM,24h,NA,NA,NA,NA,-0.22783827
SPECTRUM1505034,LINCSCP_14001,HA1E,10uM,24h,NA,NA,NA,NA,-0.22779714
PD-407824,LINCSCP_55844,VCAP,10uM,6h,NA,NA,NA,NA,-0.22773633
SCHEMBL17052537,LINCSCP_163605,SKBR3,0.04uM,24h,NA,NA,NA,NA,-0.22770902
Dolastatin 10,LINCSCP_174850,YAPC,0.04uM,24h,NA,NA,NA,NA,-0.22745584
Mifepristone,LINCSCP_289626,VCAP,10uM,24h,4,NA,NA,NA,-0.22742967
DICUMAROL,LINCSCP_124899,HT29,0.04uM,24h,4,NA,NA,NA,-0.22725199
Defactinib,LINCSCP_157326,PC3,3.33uM,24h,2,NA,NA,NA,-0.2272295
Podofilox,LINCSCP_28993,HUH7,3uM,6h,4,NA,NA,NA,-0.22711744
PCL2_000057,LINCSCP_26544,HT29,10uM,6h,NA,NA,NA,NA,-0.22705032
BRD-K70918484,LINCSCP_62916,VCAP,5uM,24h,NA,NA,NA,NA,-0.22690202
MEGXP0_000860,LINCSCP_42095,NPC,10uM,24h,NA,NA,NA,NA,-0.22685384
Phenformin,LINCSCP_18685,HCC515,10uM,6h,4,NA,NA,NA,-0.22657008
MLS000095184,LINCSCP_25896,HT29,10uM,24h,NA,NA,NA,NA,-0.22650187
CHEMBL3188326,LINCSCP_46494,PC3,10uM,24h,NA,NA,NA,NA,-0.22645838
BRD-K08448573,LINCSCP_27183,HT29,10uM,6h,NA,NA,NA,NA,-0.22641656
6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid,LINCSCP_33613,MCF7,10uM,24h,NA,NA,NA,NA,-0.22637558
MLS002703119,LINCSCP_22265,HEPG2,10uM,6h,NA,NA,NA,NA,-0.22632704
Gefitinib,LINCSCP_145928,MDAMB231,3.33uM,3h,4,NA,NA,NA,-0.22614725
SAN1_000751,LINCSCP_27195,HT29,10uM,6h,NA,NA,NA,NA,-0.22603606
Lonafarnib,LINCSCP_157727,PC3,10uM,24h,3,NA,NA,NA,-0.2260119
BRD-K10211010,LINCSCP_27791,HT29,5uM,24h,NA,NA,NA,NA,-0.22596974
SCHEMBL17783967,LINCSCP_48698,PC3,10uM,6h,NA,NA,NA,NA,-0.22596035
CID 75060944,LINCSCP_46342,PC3,10uM,6h,NA,NA,NA,NA,-0.22589445
852475-26-4,LINCSCP_70258,A375,3.33uM,24h,NA,NA,NA,NA,-0.22579954
CX-5461,LINCSCP_147956,NPC.CAS9,0.37uM,24h,NA,NA,NA,NA,-0.22556979
Volasertib (BI 6727),LINCSCP_79022,A375,3.33uM,24h,NA,NA,NA,NA,-0.22551397
Lovastatin,LINCSCP_44363,PC3,10uM,24h,4,NA,NA,NA,-0.22545942
Decitabine,LINCSCP_100703,HCC515,0.37uM,24h,4,NA,NA,NA,-0.22541876
CAY-10594,LINCSCP_54976,THP1,20uM,6h,NA,NA,NA,NA,-0.22539696
E 2012,LINCSCP_159500,PC3,10uM,24h,NA,NA,NA,NA,-0.22535489
BRD-K42197878,LINCSCP_3572,A375,10uM,24h,NA,NA,NA,NA,-0.22512024
Ganetespib (STA-9090),LINCSCP_136756,MCF7,0.37uM,24h,3,NA,NA,NA,-0.22506348
SCHEMBL16980377,LINCSCP_10039,A549,0.12uM,24h,NA,NA,NA,NA,-0.22494285
Methotrexate,LINCSCP_243784,MCF7,10uM,6h,4,NA,NA,NA,-0.22486966
AZD-8330,LINCSCP_132337,MCF7,3.33uM,3h,1,NA,NA,NA,-0.22472742
CHEMBL2355362,LINCSCP_43056,NPC,10uM,24h,NA,NA,NA,NA,-0.22472021
MLS002264454,LINCSCP_26247,HT29,10uM,6h,NA,NA,NA,NA,-0.22461716
BRD-M30664582,LINCSCP_63913,VCAP,5uM,24h,NA,NA,NA,NA,-0.2245762
MLS001007458,LINCSCP_45289,PC3,10uM,24h,NA,NA,NA,NA,-0.22451235
RG7388,LINCSCP_140657,MCF7,10uM,24h,3,NA,NA,NA,-0.22434229
Doxorubicin,LINCSCP_9646,A549,0.5uM,6h,4,NA,NA,NA,-0.22411111
BRD-K12683703,LINCSCP_8101,A549,5uM,24h,NA,NA,NA,NA,-0.2238896
Lidoflazine,LINCSCP_34395,MCF7,10uM,6h,4,NA,NA,NA,-0.22387465
SMR000206936,LINCSCP_1770,A375,10uM,6h,NA,NA,NA,NA,-0.22376418
Plumbagin,LINCSCP_13340,FIBRNPC,10uM,6h,NA,NA,NA,NA,-0.22370297
Protionamide,LINCSCP_32944,MCF7,10uM,24h,4,NA,NA,NA,-0.22343156
etoposide,LINCSCP_30315,MCF7,10uM,6h,NA,NA,NA,NA,-0.2232245
1-(4-fluorobenzyl)-N-(piperidin-4-yl)-1H-benzo[d]imidazol-2-amine,LINCSCP_124565,HT29,10uM,24h,NA,NA,NA,NA,-0.22306206
BRD-K67090983,LINCSCP_33904,MCF7,10uM,24h,NA,NA,NA,NA,-0.22302884
Pentamidine,LINCSCP_34470,MCF7,10uM,24h,4,NA,NA,NA,-0.22293638
Capsaicin,LINCSCP_25543,HT29,100uM,24h,4,NA,NA,NA,-0.22290506
Androstenedione,LINCSCP_263842,NPC,10uM,24h,NA,NA,NA,NA,-0.22280808
Lonidamine,LINCSCP_54645,SW948,100uM,6h,3,NA,NA,NA,-0.22263032
BRD-K22080587,LINCSCP_63570,VCAP,5uM,6h,NA,NA,NA,NA,-0.22262385
BAS 00535043,LINCSCP_58462,VCAP,10uM,6h,NA,NA,NA,NA,-0.22244319
ST-4062971,LINCSCP_37807,MCF7,10uM,6h,NA,NA,NA,NA,-0.22236204
F0012-0289,LINCSCP_16652,HA1E,10uM,6h,NA,NA,NA,NA,-0.2222798
Cercosporin,LINCSCP_457,A375,10uM,6h,NA,NA,NA,NA,-0.22202153
Digitoxigenin,LINCSCP_25349,HT29,10uM,6h,NA,NA,NA,NA,-0.22196443
SPBIO_003097,LINCSCP_47790,PC3,10uM,24h,NA,NA,NA,NA,-0.22176827
XMD-1527,LINCSCP_32792,MCF7,10uM,6h,NA,NA,NA,NA,-0.22173178
BRD-K10916986-001-01-6,LINCSCP_20409,HCC515,10uM,6h,NA,NA,NA,NA,-0.22171014
BAS 02002358,LINCSCP_53101,SKM1,20uM,6h,NA,NA,NA,NA,-0.22144756
BRD-K95482240,LINCSCP_23291,HEPG2,10uM,6h,NA,NA,NA,NA,-0.22136966
Raltitrexed,LINCSCP_31666,MCF7,10uM,24h,4,NA,NA,NA,-0.22119545
Risperidone,LINCSCP_43336,NPC,10uM,6h,4,NA,NA,NA,-0.221139
CHEMBL2358826,LINCSCP_23722,HEPG2,10uM,6h,NA,NA,NA,NA,-0.22091041
CCT 018159,LINCSCP_2906,A375,10uM,6h,NA,NA,NA,NA,-0.22086809
CVF-SUMO-14,LINCSCP_3068,A375,10uM,6h,NA,NA,NA,NA,-0.22077223
CHEMBL2359109,LINCSCP_37452,MCF7,3uM,24h,NA,NA,NA,NA,-0.2207343
CP-724714,LINCSCP_12024,BT20,0.5uM,6h,2,NA,NA,NA,-0.22062986
SCHEMBL16065773,LINCSCP_39556,MDAMB231,10uM,6h,NA,NA,NA,NA,-0.22039574
GW843682X,LINCSCP_145660,MDAMB231,0.37uM,3h,NA,NA,NA,NA,-0.220382
KUC104495,LINCSCP_26137,HT29,10uM,6h,NA,NA,NA,NA,-0.22035452
PF-03814735,LINCSCP_142143,MCF7,0.12uM,24h,NA,NA,NA,NA,-0.22025681
Alfacalcidol,LINCSCP_47665,PC3,10uM,24h,NA,NA,NA,NA,-0.22025347
Doramapimod,LINCSCP_129587,JURKAT,0.12uM,24h,2,NA,NA,NA,-0.22023002
Imatinib,LINCSCP_22441,HEPG2,10uM,6h,4,NA,NA,NA,-0.22005912
BRD-K74461819,LINCSCP_35359,MCF7,10uM,24h,NA,NA,NA,NA,-0.22004243
Avasimibe,LINCSCP_160635,PC3,3.33uM,24h,NA,NA,NA,NA,-0.21980521
NNC 05-2090,LINCSCP_18041,HCC515,10uM,24h,NA,NA,NA,NA,-0.21977327
sunitinib,LINCSCP_59139,VCAP,10uM,6h,NA,NA,NA,NA,-0.21965583
PFI-1,LINCSCP_86988,CD34,10uM,24h,NA,NA,NA,NA,-0.21954689
CHEMBL2133868,LINCSCP_46470,PC3,10uM,24h,NA,NA,NA,NA,-0.21950712
CHEMBL2359657,LINCSCP_60035,VCAP,5uM,24h,NA,NA,NA,NA,-0.21943729
Dexamethasone 21-acetate,LINCSCP_179548,A375,10uM,6h,NA,NA,NA,NA,-0.21943671
ZM323881,LINCSCP_22783,HEPG2,10uM,6h,NA,NA,NA,NA,-0.21942174
"2-(2,4-Dichlorophenoxy)-n-(4-methyl-2-nitrophenyl)acetamide",LINCSCP_46748,PC3,10uM,24h,NA,NA,NA,NA,-0.21909147
Cediranib,LINCSCP_124871,HT29,10uM,24h,3,NA,NA,NA,-0.21895499
NU-7441,LINCSCP_81054,A549,1.11uM,24h,NA,NA,NA,NA,-0.21874787
Mirin,LINCSCP_59082,VCAP,10uM,6h,NA,NA,NA,NA,-0.21872027
Etomoxir,LINCSCP_90140,HA1E,0.04uM,24h,NA,NA,NA,NA,-0.21870979
Midostaurin,LINCSCP_26985,HT29,10uM,6h,3,NA,NA,NA,-0.21864857
Diloxanide Furoate,LINCSCP_2588,A375,10uM,6h,4,NA,NA,NA,-0.21862218
BM 5,LINCSCP_206910,FIBRNPC,10uM,24h,NA,NA,NA,NA,-0.21834622
BRD-K65404805-001-01-6,LINCSCP_33900,MCF7,10uM,24h,NA,NA,NA,NA,-0.21832124
BRD-K94534355,LINCSCP_60491,VCAP,5uM,6h,NA,NA,NA,NA,-0.21826443
Rivastigmine,LINCSCP_47898,PC3,10uM,6h,4,NA,NA,NA,-0.21825239
CHEMBL2143638,LINCSCP_23250,HEPG2,10uM,6h,NA,NA,NA,NA,-0.21819799
GAP-134 (Hydrochloride),LINCSCP_153722,PC3,1.11uM,24h,2,NA,NA,NA,-0.21806485
BRD-K08121566,LINCSCP_310102,VCAP,30uM,6h,NA,NA,NA,NA,-0.21804709
Clocortolone Pivalate,LINCSCP_18708,HCC515,10uM,6h,4,NA,NA,NA,-0.21802206
Strophanthidin,LINCSCP_23743,HEPG2,5uM,6h,NA,NA,NA,NA,-0.21795945
CI-1040,LINCSCP_42243,NPC,10uM,24h,2,NA,NA,NA,-0.2179239
"ICI-199,441",LINCSCP_33652,MCF7,10uM,24h,NA,NA,NA,NA,-0.21785016
GW-5074,LINCSCP_83759,ASC.C,3.33uM,24h,NA,NA,NA,NA,-0.21777946
BRD-K74133369-001-01-8,LINCSCP_26525,HT29,10uM,6h,NA,NA,NA,NA,-0.21769857
MLS002264466,LINCSCP_26256,HT29,10uM,6h,NA,NA,NA,NA,-0.21750926
ML181,LINCSCP_1711,A375,10uM,6h,NA,NA,NA,NA,-0.21742244
BRD-K43683841,LINCSCP_279069,PC3,10uM,6h,NA,NA,NA,NA,-0.21738954
BRD-K85549762,LINCSCP_28033,HT29,5uM,24h,NA,NA,NA,NA,-0.21699899
BRD-K48031880,LINCSCP_279081,PC3,10uM,6h,NA,NA,NA,NA,-0.21696827
BRD-K19677752,LINCSCP_61864,VCAP,5uM,6h,NA,NA,NA,NA,-0.21684269
Thalidomide,LINCSCP_214845,HCC515,10uM,6h,4,NA,NA,NA,-0.21676804
BDBM52947,LINCSCP_119430,HT29,0.12uM,24h,NA,NA,NA,NA,-0.21662806
Rimcazole,LINCSCP_126028,HT29,10uM,24h,NA,NA,NA,NA,-0.21649464
Broad-Sai-560,LINCSCP_38777,MCF7,0.37uM,24h,NA,NA,NA,NA,-0.21648259
Btcp,LINCSCP_43301,NPC,10uM,6h,NA,NA,NA,NA,-0.21641372
Palovarotene,LINCSCP_160076,PC3,10uM,24h,2,NA,NA,NA,-0.2163348
CHEMBL2355399,LINCSCP_46463,PC3,10uM,24h,NA,NA,NA,NA,-0.21627384
CHEMBL3188086,LINCSCP_28217,HT29,10uM,24h,NA,NA,NA,NA,-0.21612338
CHEMBL493153,LINCSCP_45335,PC3,10uM,24h,NA,NA,NA,NA,-0.21572291
BRD-K06432527,LINCSCP_278956,PC3,10uM,6h,NA,NA,NA,NA,-0.21559051
MLS003128613,LINCSCP_1651,A375,10uM,6h,NA,NA,NA,NA,-0.21548176
Chlorhexidine,LINCSCP_34296,MCF7,10uM,24h,4,NA,NA,NA,-0.21547646
ASN 04454474,LINCSCP_21899,HEPG2,10uM,6h,NA,NA,NA,NA,-0.21546445
Broad-Sai-045,LINCSCP_49644,PC3,10uM,24h,NA,NA,NA,NA,-0.21543296
LY-294002,LINCSCP_68491,VCAP,10uM,24h,NA,NA,NA,NA,-0.21542441
MLS002264461,LINCSCP_1398,A375,10uM,24h,NA,NA,NA,NA,-0.2153193
C2-Ceramide,LINCSCP_30370,MCF7,10uM,6h,NA,NA,NA,NA,-0.21525381
MLS003370625,LINCSCP_1450,A375,10uM,24h,NA,NA,NA,NA,-0.21520145
Axitinib,LINCSCP_32163,MCF7,10uM,24h,4,NA,NA,NA,-0.21505747
Quisinostat,LINCSCP_32554,MCF7,10uM,24h,2,NA,NA,NA,-0.21488419
BRD-K91946056,LINCSCP_48597,PC3,10uM,24h,NA,NA,NA,NA,-0.21466958
H9,LINCSCP_56178,VCAP,10uM,6h,NA,NA,NA,NA,-0.21460258
Broad-Sai-686,LINCSCP_49292,PC3,10uM,6h,NA,NA,NA,NA,-0.21442568
Hinokitiol,LINCSCP_33086,MCF7,10uM,24h,NA,NA,NA,NA,-0.21424974
DSSTOX_CID_25343,LINCSCP_47627,PC3,10uM,24h,NA,NA,NA,NA,-0.21420544
C21H27N7O3,LINCSCP_162899,SKBR3,0.04uM,24h,NA,NA,NA,NA,-0.21413297
BRD-K83816656,LINCSCP_47156,PC3,10uM,24h,NA,NA,NA,NA,-0.2141197
MLS002473918,LINCSCP_47407,PC3,10uM,6h,NA,NA,NA,NA,-0.21401884
ML239,LINCSCP_51074,RMUGS,10uM,6h,NA,NA,NA,NA,-0.21400002
Ammonium Glycyrrhizinate,LINCSCP_169870,YAPC,0.12uM,24h,NA,NA,NA,NA,-0.21380209
Lexibulin,LINCSCP_50589,PL21,1uM,6h,2,NA,NA,NA,-0.21350153
CHEMBL3188944,LINCSCP_29626,MCF10A,10uM,24h,NA,NA,NA,NA,-0.21344542
Olmesartan Medoxomil,LINCSCP_174844,YAPC,0.04uM,24h,4,NA,NA,NA,-0.21339156
SC_I_004,LINCSCP_6048,A549,10uM,6h,NA,NA,NA,NA,-0.21330587
GSK J4,LINCSCP_146801,NEU,10uM,24h,NA,NA,NA,NA,-0.21325504
BRD-K79532217,LINCSCP_41122,NEU,10uM,24h,NA,NA,NA,NA,-0.21324279
ZINC01037382,LINCSCP_47037,PC3,10uM,6h,NA,NA,NA,NA,-0.21319257
Parachlorophenol,LINCSCP_33631,MCF7,10uM,24h,NA,NA,NA,NA,-0.21319054
SSR 69071,LINCSCP_56349,VCAP,10uM,6h,NA,NA,NA,NA,-0.21316803
Primaquine,LINCSCP_26790,HT29,10uM,6h,4,NA,NA,NA,-0.21309121
Lu AE58054 (Hydrochloride),LINCSCP_143441,MCF7,10uM,24h,3,NA,NA,NA,-0.21301691
BRD-K85471465,LINCSCP_302182,VCAP,5uM,24h,NA,NA,NA,NA,-0.2129574
MLS002264491,LINCSCP_292688,VCAP,10uM,6h,NA,NA,NA,NA,-0.21294416
levopropoxyphene,LINCSCP_153152,PC3,3.33uM,24h,NA,NA,NA,NA,-0.21281935
Pracinostat,LINCSCP_117423,HT29,0.12uM,24h,NA,NA,NA,NA,-0.21272902
Amitriptyline,LINCSCP_155103,PC3,10uM,24h,4,NA,NA,NA,-0.21265133
AC1NSZCT,LINCSCP_262058,NPC,10uM,24h,NA,NA,NA,NA,-0.21261028
AMD-070 (hydrochloride),LINCSCP_139081,MCF7,3.33uM,24h,NA,NA,NA,NA,-0.21260858
LY2784544,LINCSCP_72363,A375,10uM,24h,NA,NA,NA,NA,-0.21260597
LY451395,LINCSCP_139104,MCF7,10uM,24h,2,NA,NA,NA,-0.21250337
"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",LINCSCP_32382,MCF7,10uM,6h,NA,NA,NA,NA,-0.2124978
AB00540133,LINCSCP_10354,A673,10uM,6h,NA,NA,NA,NA,-0.21249301
atorvastatin,LINCSCP_45069,PC3,10uM,24h,NA,NA,NA,NA,-0.21245347
SCHEMBL6851809,LINCSCP_57015,VCAP,10uM,6h,NA,NA,NA,NA,-0.21244693
ST50177349,LINCSCP_7204,A549,10uM,6h,NA,NA,NA,NA,-0.21235235
Benzoxiquine,LINCSCP_56450,VCAP,10uM,24h,NA,NA,NA,NA,-0.21231597
Aripiprazole,LINCSCP_142175,MCF7,10uM,24h,4,NA,NA,NA,-0.21219472
BRD-K12450081,LINCSCP_310110,VCAP,30uM,6h,NA,NA,NA,NA,-0.21217258
BRD-A07407288,LINCSCP_47181,PC3,10uM,6h,NA,NA,NA,NA,-0.2119304
BRD-K05174693,LINCSCP_309975,VCAP,30uM,24h,NA,NA,NA,NA,-0.21184542
Falnidamol,LINCSCP_32926,MCF7,10uM,24h,1,NA,NA,NA,-0.21181805
AT13387,LINCSCP_157487,PC3,10uM,24h,2,NA,NA,NA,-0.21168844
SCHEMBL16980379,LINCSCP_50422,PHH,10uM,6h,NA,NA,NA,NA,-0.21164022
BRD-K63455741,LINCSCP_259306,NEU,10uM,24h,NA,NA,NA,NA,-0.21161111
STK054715,LINCSCP_31444,MCF7,10uM,6h,NA,NA,NA,NA,-0.21157832
Sulfadoxine,LINCSCP_155127,PC3,10uM,24h,4,NA,NA,NA,-0.21156344
AM-580,LINCSCP_55444,U937,10uM,6h,NA,NA,NA,NA,-0.21155079
Kinetin Riboside,LINCSCP_54380,SW620,10uM,6h,NA,NA,NA,NA,-0.21144925
MLS001116217,LINCSCP_261417,NPC,10uM,24h,NA,NA,NA,NA,-0.21127891
Xanthohumol,LINCSCP_11074,ASC,10uM,24h,NA,NA,NA,NA,-0.21124437
"(R,S)-Indatraline",LINCSCP_58095,VCAP,10uM,24h,NA,NA,NA,NA,-0.2112374
IDOXURIDINE,LINCSCP_125386,HT29,10uM,24h,NA,NA,NA,NA,-0.21110921
ST057710,LINCSCP_48091,PC3,20uM,24h,NA,NA,NA,NA,-0.21108548
L-690488,LINCSCP_54303,SW620,10uM,6h,NA,NA,NA,NA,-0.21100791
CHEMBL2140960,LINCSCP_65057,VCAP,10uM,6h,NA,NA,NA,NA,-0.21070574
AC1OAV9H,LINCSCP_58403,VCAP,10uM,24h,NA,NA,NA,NA,-0.21061476
23979-41-1,LINCSCP_47633,PC3,10uM,24h,NA,NA,NA,NA,-0.2105809
MLS002276469,LINCSCP_1334,A375,10uM,6h,NA,NA,NA,NA,-0.21054574
Ingenol Mebutate,LINCSCP_162136,PC3,1.11uM,24h,4,NA,NA,NA,-0.21049139
Artesunate,LINCSCP_10302,A673,10uM,6h,NA,NA,NA,NA,-0.2104117
AZD4547,LINCSCP_128434,HUVEC,10uM,24h,NA,NA,NA,NA,-0.21015975
Ibrutinib (PCI-32765),LINCSCP_174356,YAPC,0.37uM,24h,4,NA,NA,NA,-0.21004966
Pictilisib,LINCSCP_251378,MCF7,10uM,24h,2,NA,NA,NA,-0.21004399
THZ-2-98-01,LINCSCP_38996,MDAMB231,0.1uM,24h,NA,NA,NA,NA,-0.20993693
THZ-2-98-01,LINCSCP_38996,MDAMB231,0.1uM,24h,NA,NA,NA,NA,-0.20993693
THZ-2-98-01,LINCSCP_38996,MDAMB231,0.1uM,24h,NA,NA,NA,NA,-0.20993693
BRD-K01608965,LINCSCP_35176,MCF7,10uM,24h,NA,NA,NA,NA,-0.20985996
UK 383367,LINCSCP_74742,A375,1.11uM,24h,NA,NA,NA,NA,-0.20981779
Tunicamycin From Streptomyces Sp.,LINCSCP_26384,HT29,10uM,6h,NA,NA,NA,NA,-0.20966289
BRD-K21374126,LINCSCP_200915,A549,10uM,24h,NA,NA,NA,NA,-0.20951082
BRD-K54636101,LINCSCP_62894,VCAP,5uM,24h,NA,NA,NA,NA,-0.20946105
amcinonide,LINCSCP_164927,SKL.C,1.11uM,24h,NA,NA,NA,NA,-0.20944614
Lumicolchicine,LINCSCP_52790,SKB,10uM,24h,NA,NA,NA,NA,-0.20928808
CHEMBL416418,LINCSCP_4476,A549,60uM,24h,NA,NA,NA,NA,-0.20918909
BRD-K30409687,LINCSCP_59651,VCAP,5uM,24h,NA,NA,NA,NA,-0.20913533
BRD-K76418961,LINCSCP_3621,A375,10uM,24h,NA,NA,NA,NA,-0.20910077
BRD-K30837577,LINCSCP_28236,HT29,10uM,24h,NA,NA,NA,NA,-0.20909185
AC1LDBAO,LINCSCP_12579,CL34,20uM,6h,NA,NA,NA,NA,-0.20907354
XMD-16144,LINCSCP_26754,HT29,10uM,6h,NA,NA,NA,NA,-0.20901157
SMR000206938,LINCSCP_45355,PC3,10uM,6h,NA,NA,NA,NA,-0.20898822
Lypressin,LINCSCP_46854,PC3,10uM,24h,4,NA,NA,NA,-0.20875833
SR-02000000346,LINCSCP_16033,HA1E,10uM,6h,NA,NA,NA,NA,-0.20863975
Phenylbutazone,LINCSCP_208463,HA1E,10uM,6h,4,NA,NA,NA,-0.20852812
altrenogest,LINCSCP_171660,YAPC,0.12uM,24h,NA,NA,NA,NA,-0.20846155
